,id,name,year,city,type,status
0,100300,Faulkner University,2024,Montgomery,PRI,Active
1,103600,Samford University,2024,Birmingham,PRI,Active
2,105100,University of Alabama,2024,Tuscaloosa,PUB,Active
3,108100,Arizona State University,2024,Phoenix,PUB,Active
4,108300,University of Arizona,2024,Tucson,PUB,Active
5,110101,University of Arkansas-Little Rock,2024,Little Rock,PUB,Active
6,110800,University of Arkansas-Fayetteville,2024,Fayetteville,PUB,Active
7,116453,Chapman University,2024,Orange,PRI,Active
8,120529,Golden Gate University,2024,San Francisco,PRI,InActive
9,121601,University of La Verne,2024,Ontario,PRI,InActive
10,129500,Southwestern Law School,2024,Los Angeles,PRI,Active
11,130503,Stanford University,2024,Stanford,PRI,Active
12,131273,University of California-Berkeley,2024,Berkeley,PUB,Active
13,131373,University of California-Davis,2024,Davis,PUB,Active
14,131400,University of California-Irvine,2024,Irvine,PUB,Active
15,131500,University of California-Los Angeles,2024,Los Angeles,PUB,Active
16,132500,University of San Francisco,2024,San Francisco,PRI,Active
17,132600,Santa Clara University,2024,Santa Clara,PRI,Active
18,132800,University of Southern California,2024,Los Angeles,PRI,Active
19,132901,McGeorge School of Law,2024,Sacramento,PRI,Active
20,134201,Whittier Law School,2024,Costa Mesa,PRI,InActive
21,137000,University of Colorado,2024,Boulder,PUB,Active
22,137100,University of Denver,2024,Denver,PRI,Active
23,140201,Quinnipiac University,2024,North Haven,PRI,Active
24,141706,University of Connecticut,2024,Hartford,PUB,Active
25,142600,Yale University,2024,New Haven,PRI,Active
26,143401,American University,2024,Washington,PRI,Active
27,143711,Catholic University of America,2024,Washington,PRI,Active
28,144102,District of Columbia,2024,Washington,PUB,Active
29,144402,George Washington University,2024,Washington,PRI,Active
30,144503,Georgetown University,2024,Washington,PRI,Active
31,144802,Howard University,2024,Washington,PRI,Active
32,146601,Barry University,2024,Orlando,PRI,Active
33,146800,St. Thomas University (Florida),2024,Miami Gardens,PRI,Active
34,148001,Florida A&M University,2024,Orlando,PUB,Active
35,148900,Florida State University,2024,Tallahassee,PUB,Active
36,149500,Jacksonville University,2024,Jacksonville,PRI,Active
37,150900,Nova Southeastern University,2024,Fort Lauderdale,PRI,Active
38,153101,Stetson University,2024,Gulfport,PRI,Active
39,153505,University of Florida,2024,Gainesville,PUB,Active
40,153601,University of Miami,2024,Coral Gables,PRI,Active
41,156400,Emory University,2024,Atlanta,PRI,Active
42,157400,Georgia State University,2024,Atlanta,PUB,Active
43,158015,Mercer University,2024,Macon,PRI,Active
44,159800,University of Georgia,2024,Athens,PUB,Active
45,161000,University of Hawaii,2024,Honolulu,PUB,Active
46,162600,University of Idaho,2024,Moscow,PUB,Active
47,167100,Depaul University,2024,Chicago,PRI,Active
48,169101,Chicago-Kent College of Law-IIT,2024,Chicago,PRI,Active
49,171000,Loyola University-Chicago,2024,Chicago,PRI,Active
50,173700,Northern Illinois University,2024,Dekalb,PUB,Active
51,173900,Northwestern University,2024,Chicago,PRI,Active
52,175800,Southern Illinois University-Carbondale,2024,Carbondale,PUB,Active
53,177400,University of Chicago,2024,Chicago,PRI,Active
54,177500,University of Illinois,2024,Champaign,PUB,Active
55,177608,University of Illinois Chicago School of Law,2024,Chicago,PUB,Active
56,180500,Indiana Tech Law School,2024,Fort Wayne,PRI,InActive
57,180900,Indiana University - Bloomington,2024,Bloomington,PUB,Active
58,181300,Indiana University - Indianapolis,2024,Indianapolis,PUB,Active
59,184000,University of Notre Dame,2024,Notre Dame,PRI,Active
60,184200,Valparaiso University,2024,Valparaiso,PRI,InActive
61,186000,Drake University,2024,Des Moines,PRI,Active
62,189200,University of Iowa,2024,Iowa City,PUB,Active
63,194800,University of Kansas,2024,Lawrence,PUB,Active
64,194900,Washburn University,2024,Topeka,PUB,Active
65,198903,University of Kentucky,2024,Lexington,PUB,Active
66,199900,University of Louisville,2024,Louisville,PUB,Active
67,201000,Louisiana State University,2024,Baton Rouge,PUB,Active
68,201600,Loyola University-New Orleans,2024,New Orleans,PRI,Active
69,202500,Southern University,2024,Baton Rouge,PUB,Active
70,202900,Tulane University,2024,New Orleans,PRI,Active
71,205400,University of Maine,2024,Portland,PUB,Active
72,210200,University of Baltimore,2024,Baltimore,PUB,Active
73,210400,University of Maryland,2024,Baltimore,PUB,Active
74,212801,Boston College,2024,Newton,PRI,Active
75,213007,Boston University,2024,Boston,PRI,Active
76,215510,Harvard University,2024,Cambridge,PRI,Active
77,219900,Northeastern University,2024,Boston,PRI,Active
78,221007,University of Massachusetts Dartmouth,2024,North Dartmouth,PUB,Active
79,221810,Suffolk University,2024,Boston,PRI,Active
80,222600,Western New England University,2024,Springfield,PRI,Active
81,225400,Michigan State University,2024,East Lansing,PUB,Active
82,232300,University of Detroit Mercy,2024,Detroit,PRI,Active
83,232503,University of Michigan,2024,Ann Arbor,PUB,Active
84,232902,Wayne State University,2024,Detroit,PUB,Active
85,234500,University of St. Thomas (Minnesota),2024,Minneapolis,PRI,Active
86,235401,Hamline University,2024,St. Paul,PRI,InActive
87,239100,William Mitchell College of Law,2024,St. Paul,PRI,InActive
88,239101,Mitchell Hamline School of Law,2024,St. Paul,PRI,Active
89,241501,Mississippi College,2024,Jackson,PRI,Active
90,244000,University of Mississippi,2024,University,PUB,Active
91,250609,Saint Louis University,2024,St. Louis,PRI,Active
92,251600,University of Missouri,2024,Columbia,PUB,Active
93,251800,University of Missouri-Kansas City,2024,Kansas City,PUB,Active
94,252000,Washington University,2024,St. Louis,PRI,Active
95,253600,University of Montana,2024,Missoula,PUB,Active
96,254200,Creighton University,2024,Omaha,PRI,Active
97,256500,University of Nebraska,2024,Lincoln,PUB,Active
98,256900,University of Nevada - Las Vegas,2024,Las Vegas,PUB,Active
99,258903,University of New Hampshire,2024,Concord,PUB,Active
100,262900,Rutgers University,2024,,PUB,Active
101,262901,Rutgers University-Camden,2024,Camden,PUB,InActive
102,262902,Rutgers University-Newark,2024,Newark,PUB,InActive
103,263201,Seton Hall University,2024,Newark,PRI,Active
104,266300,University of New Mexico,2024,Albuquerque,PUB,Active
105,267700,Brooklyn Law School,2024,Brooklyn,PRI,Active
106,270711,Columbia University,2024,New York,PRI,Active
107,271101,Cornell University,2024,Ithaca,PRI,Active
108,272203,Fordham University,2024,New York,PRI,Active
109,273200,Hofstra University,2024,Hempstead,PRI,Active
110,278300,New York Law School,2024,New York,PRI,Active
111,278500,New York University,2024,New York,PRI,Active
112,279102,Pace University,2024,White Plains,PRI,Active
113,282300,St. John's University,2024,Queens,PRI,Active
114,283700,University of Buffalo-SUNY,2024,Buffalo,PUB,Active
115,288200,Syracuse University,2024,Syracuse,PRI,Active
116,288600,Albany Law School of Union University,2024,Albany,PRI,Active
117,290301,Cardozo School of Law,2024,New York,PRI,Active
118,291300,Campbell University,2024,Raleigh,PRI,Active
119,292002,Duke University,2024,Durham,PRI,Active
120,292701,Elon University,2024,Greensboro,PRI,Active
121,295000,North Carolina Central University,2024,Durham,PUB,Active
122,297400,University of North Carolina,2024,Chapel Hill,PUB,Active
123,297805,Wake Forest University,2024,Winston-Salem,PRI,Active
124,300500,University of North Dakota,2024,Grand Forks,PUB,Active
125,302302,Capital University,2024,Columbus,PRI,Active
126,302400,Case Western Reserve University,2024,Cleveland,PRI,Active
127,303200,Cleveland State University,2024,Cleveland,PUB,Active
128,308900,Ohio Northern University,2024,Ada,PRI,Active
129,309000,The Ohio State University,2024,Columbus,PUB,Active
130,312300,University of Akron,2024,Akron,PUB,Active
131,312500,University of Cincinnati,2024,Cincinnati,PUB,Active
132,312700,University of Dayton,2024,Dayton,PRI,Active
133,313100,University of Toledo,2024,Toledo,PUB,Active
134,316614,Oklahoma City University,2024,Oklahoma City,PRI,Active
135,318400,University of Oklahoma,2024,Norman,PUB,Active
136,318500,University of Tulsa,2024,Tulsa,PRI,Active
137,319100,Concordia Law School,2024,Boise,PRI,InActive
138,319700,Lewis and Clark College,2024,Portland,PRI,Active
139,322300,University of Oregon,2024,Eugene,PUB,Active
140,322700,Willamette University,2024,Salem,PRI,Active
141,325600,Drexel University,2024,Philadelphia,PRI,Active
142,325800,Duquesne University,2024,Pittsburgh,PRI,Active
143,331301,Widener University-Delaware,2024,Wilmington,PRI,Active
144,331302,Widener Commonwealth,2024,Harrisburg,PRI,Active
145,332900,Pennsylvania State University-Penn State Law,2024,University Park,PUB,Active
146,332922,Pennsylvania State University,2024,University Park,PUB,Active
147,332923,Pennsylvania State University-Dickinson School of Law,2024,Carlisle,PUB,Active
148,337101,Temple University,2024,Philadelphia,PUB,Active
149,337800,University of Pennsylvania,2024,Philadelphia,PRI,Active
150,337900,University of Pittsburgh,2024,Pittsburgh,PUB,Active
151,338801,Villanova University,2024,Villanova,PRI,Active
152,341001,Roger Williams University,2024,Bristol,PRI,Active
153,344800,University of South Carolina,2024,Columbia,PUB,Active
154,347400,University of South Dakota,2024,Vermillion,PUB,Active
155,347900,Belmont University,2024,Nashville,PRI,Active
156,350200,Lincoln Memorial University,2024,Knoxville,PRI,Active
157,350900,University of Memphis,2024,Memphis,PUB,Active
158,353000,University of Tennessee,2024,Knoxville,PUB,Active
159,353500,Vanderbilt University,2024,Nashville,PRI,Active
160,354500,Baylor University,2024,Waco,PRI,Active
161,361300,Southern Methodist University,2024,Dallas,PRI,Active
162,362300,St. Mary's University,2024,San Antonio,PRI,Active
163,363221,Texas A&M University,2024,Fort Worth,PUB,Active
164,364200,Texas Southern University,2024,Houston,PUB,Active
165,364400,Texas Tech University,2024,Lubbock,PUB,Active
166,365200,University of Houston,2024,Houston,PUB,Active
167,365800,University of Texas at Austin,2024,Austin,PUB,Active
168,367000,Brigham Young University,2024,Provo,PRI,Active
169,367500,University of Utah,2024,Salt Lake City,PUB,Active
170,370500,William and Mary Law School,2024,Williamsburg,PUB,Active
171,374400,University of Richmond,2024,Richmond,PRI,Active
172,374500,University of Virginia,2024,Charlottesville,PUB,Active
173,374900,George Mason University,2024,Arlington,PUB,Active
174,376800,Washington and Lee University,2024,Lexington,PRI,Active
175,377800,Gonzaga University,2024,Spokane,PRI,Active
176,379001,Seattle University,2024,Seattle,PRI,Active
177,379800,University of Washington,2024,Seattle,PUB,Active
178,382700,West Virginia University,2024,Morgantown,PUB,Active
179,386300,Marquette University,2024,Milwaukee,PRI,Active
180,389500,University of Wisconsin,2024,Madison,PUB,Active
181,393200,University of Wyoming,2024,Laramie,PUB,Active
182,393600,Pontifical Catholic University of P.R.,2024,Ponce,PRI,Active
183,394200,University of Puerto Rico,2024,San Juan,PUB,Active
184,394700,"UC College of the Law, San Francisco",2024,San Francisco,PUB,Active
185,396900,University of Minnesota,2024,Minneapolis,PUB,Active
186,425090,Inter American University of Puerto Rico,2024,San Juan,PRI,Active
187,497700,South Texas College of Law,2024,Houston,PRI,Active
188,891600,New England Law | Boston,2024,Boston,PRI,Active
189,927500,Northern Kentucky University,2024,Highland Heights,PUB,Active
190,963500,Florida International University,2024,Miami,PUB,Active
191,1014205,Touro University,2024,Central Islip,PRI,Active
192,1014913,Pepperdine University,2024,Malibu,PRI,Active
193,1039501,University of San Diego,2024,San Diego,PRI,Active
194,1085400,Thomas Jefferson School of Law,2024,San Diego,PRI,InActive
195,1164901,Loyola Marymount University-Los Angeles,2024,Los Angeles,PRI,Active
196,1193400,Vermont Law School,2024,South Royalton,PRI,Active
197,1262700,Thomas M. Cooley Law School,2024,Lansing,PRI,Active
198,1310300,California Western School of Law,2024,San Diego,PRI,Active
199,2053000,Liberty University,2024,Lynchburg,PRI,Active
200,2179937,Western State College of Law,2024,Irvine,PRI,Active
201,3091300,Regent University,2024,Virginia Beach,PRI,Active
202,3173300,Atlanta's John Marshall Law School,2024,Atlanta,PRI,Active
203,3191300,City University of New York,2024,Long Island City,PUB,Active
204,3374300,Florida Coastal School of Law,2024,Jacksonville,PRI,InActive
205,3559300,Appalachian School of Law,2024,Grundy,PRI,Active
206,3691400,Ave Maria School of Law,2024,Naples,PRI,Active
207,4096300,Charleston School of Law,2024,Charleston,PRI,Active
208,4131400,Arizona Summit Law School,2024,Phoenix,PRI,InActive
209,4143500,Charlotte School of Law,2024,Charlotte,PRI,InActive
210,4242101,UNT Dallas College Of Law,2024,Dallas,PUB,Active
